time,value
2025-03-27T03:47:34.382674981Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:35.374725492Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:37.212728584Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:38.232736965Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:39.214631752Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:40.234643985Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:41.284742694Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:42.261850764Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:43.252593976Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:44.262821349Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:45.264699088Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:46.275159946Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:47.304975167Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:48.319144344Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:49.312738017Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:50.314710779Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:51.314725194Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:52.324853206Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:53.344665196Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:54.374713279Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:55.342654281Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:56.354616081Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:57.37485068Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:58.392825411Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:47:59.395161907Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:00.412704781Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:01.404821078Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:02.424752094Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:03.454524481Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:04.445047378Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:05.454762039Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:06.465014628Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:07.475228505Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:08.494943214Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:09.494546861Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:10.574959817Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:11.594869341Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:12.584997194Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:13.584640891Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:14.553016747Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:15.565063552Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:16.532773441Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:17.552883094Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:18.544807683Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:19.552814504Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:20.554914997Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:21.563074406Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:22.574783192Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:23.584785774Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:24.594697578Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:25.604485937Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:26.633013696Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:27.622963162Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:28.624852066Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:29.635811496Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:30.644882728Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:31.656563844Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:32.66498224Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:33.6817467Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:34.672900933Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:35.684794358Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:36.694501994Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:37.704781893Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:38.715619257Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:39.734861082Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:40.72492996Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:41.744684183Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:42.744819834Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:43.754835008Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:44.765894183Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:45.77500018Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:46.774757368Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:47.784805536Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:48.802718007Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:49.814730801Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:50.824910488Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:51.854660856Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:52.844645Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:53.854612761Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:54.875149944Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:55.884691962Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:56.874905999Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:57.886070212Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:59.525307746Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:48:59.895041883Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:00.925084922Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:01.93304263Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:02.92600786Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:03.944999741Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:04.946340358Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:05.955187005Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:06.954894848Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:07.935022282Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:08.954833642Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:09.994724403Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:10.974736961Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:12.055728098Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:13.074947452Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:14.014981988Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:15.084644261Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:16.053728111Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:17.034733946Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:18.03286485Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:19.044769476Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:20.044792995Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:21.078799323Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:22.065172313Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:23.065094593Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:24.074852467Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:25.110906252Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:26.095656363Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:27.10475356Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:28.116086329Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:29.115990265Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:30.124845516Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:31.13478506Z,"{""lat"":30.5163625,""lon"":76.659896}"
