Timestamp,Temperature (°C),Humidity (%)
20250207215808,21.90,69.20
20250207215828,21.70,69.30
20250207215848,21.50,68.70
20250207215908,21.40,67.40
20250207215928,21.30,68.30
20250207215948,21.50,68.30
20250207220008,21.80,67.70
20250207220028,22.10,66.40
20250207220048,22.40,65.60
20250207220108,22.70,64.50
20250207220128,23.00,64.30
20250207220148,23.20,62.80
20250207220208,23.30,62.80
20250207220228,23.50,62.60
20250207220248,23.50,61.50
20250207220308,23.60,61.20
20250207220328,23.70,60.20
20250207220348,23.80,59.80
20250207220408,23.90,59.90
20250207220428,24.00,60.30
20250207220448,24.10,59.70
20250207220508,24.10,59.40
20250207220528,24.20,59.00
20250207220548,24.30,58.60
20250207220608,24.40,58.50
20250207220628,24.40,57.60
20250207220648,24.50,57.50
20250207220708,24.40,57.60
20250207220728,24.40,58.90
20250207220748,24.50,57.80
20250207220808,24.40,57.20
20250207221828,24.80,55.60
20250207221848,24.80,54.90
20250207221908,24.80,55.00
20250207221928,24.80,55.60
20250207221948,24.70,55.30
20250207222008,24.80,55.00
20250207222028,24.80,55.00
20250207222048,24.60,54.50
20250207222108,24.50,56.30
20250207222128,24.80,55.80
20250207222148,25.20,54.70
20250207222208,25.60,54.50
20250207222228,26.10,53.70
20250207222248,26.70,52.90
20250207222308,27.10,52.10
20250207222328,27.50,50.70
20250207222348,27.90,49.40
20250207222408,28.40,47.80
20250207222428,28.70,47.30
20250207222448,28.90,46.50
20250207222508,29.00,47.00
20250207222528,29.30,46.00
20250207222548,29.40,45.90
20250207222608,29.70,45.40
20250207222628,29.80,44.90
20250207222648,30.00,44.30
20250207222708,30.10,44.40
20250207222728,30.20,44.20
20250207222748,30.20,44.10
20250207222808,30.30,43.90
20250207222828,30.30,43.60
20250207222848,30.50,42.90
20250207222908,30.60,43.00
20250207222928,30.60,43.00
20250207222948,30.60,42.70
20250207223008,30.70,42.50
20250207223028,30.70,42.80
20250207223048,30.80,42.30
20250207223108,30.80,42.60
20250207223128,30.80,42.50
20250207223148,30.80,42.30
20250207223208,31.00,43.20
20250207223228,31.10,41.90
20250207223248,31.30,41.70
20250207223308,31.40,41.60
20250207223328,31.50,41.50
20250207223348,31.60,42.20
20250207223408,31.70,40.90
20250207223428,31.70,41.10
20250207223448,31.60,40.80
20250207223508,31.60,40.80
20250207223528,31.40,40.80
20250207223548,31.20,41.40
20250207223608,31.10,41.10
20250207223628,31.00,41.30
20250207223648,30.90,41.50
20250207223708,30.80,41.70
20250207223728,30.70,41.70
20250207223748,30.60,42.00
20250207223808,30.60,42.20
20250207223828,30.70,42.40
20250207223848,30.60,42.20
20250207223908,30.30,42.00
20250207223928,29.80,42.60
20250207223948,29.30,43.60
20250207224008,28.90,44.10
20250207224028,28.50,44.90
20250207224048,28.20,45.80
20250207224108,27.90,46.20
20250207224128,27.50,46.90
20250207224148,27.20,48.00
20250207224208,27.00,47.80
20250207224228,26.80,48.80
20250207224248,26.50,49.10
20250207224308,26.30,49.80
20250207224328,26.20,50.10
20250207224348,26.10,50.40
20250207224408,26.00,51.00
20250207224428,25.90,51.10
20250207224448,25.90,51.40
20250207224508,25.80,51.70
20250207224528,25.70,51.40
20250207224548,25.70,51.80
20250207224608,25.60,51.90
20250207224629,25.50,51.90
20250207224649,25.50,52.00
20250207224709,25.40,52.70
20250207224729,25.30,52.90
20250207224749,25.30,52.60
20250207224809,25.20,52.80
20250207224829,25.20,52.90
20250207224849,25.20,53.30
20250207224909,25.20,53.30
20250207224929,25.10,53.20
20250207224949,25.10,53.20
20250207225009,25.10,53.40
20250207225029,25.00,53.50
20250207225049,25.00,53.60
20250207225109,25.00,53.90
20250207225129,24.90,53.70
20250207225149,24.90,53.70
20250207225209,24.90,53.80
20250207225229,24.90,54.00
20250207225249,24.90,53.90
20250207225309,24.90,54.00
20250207225329,24.90,53.80
20250207225349,24.90,53.90
20250207225409,25.00,54.10
20250207225429,24.80,54.20
20250207225449,24.50,54.60
20250207225509,24.10,55.10
20250207225529,23.60,56.40
20250207225549,23.10,57.20
20250207225609,22.70,58.40
20250207225629,22.30,59.30
20250207225649,22.00,60.50
20250207225709,21.60,61.70
20250207225729,21.40,62.40
20250207225749,21.10,63.20
20250207225809,20.90,64.30
20250207225829,20.70,64.80
20250207225849,20.50,65.10
20250207225909,20.30,66.30
20250207225929,20.10,66.90
20250207225949,20.00,67.40
20250207230009,19.90,67.50
20250207230029,19.80,68.20
20250207230049,19.70,68.60
20250207230109,19.60,68.80
20250207230129,19.50,69.80
20250207230149,19.40,69.30
20250207230209,19.40,69.90
20250207230229,19.30,69.90
20250207230249,19.30,70.30
20250207230309,19.20,70.30
