
,X,Y,Z,time
,1.1,-3.66,-2.38,2025-03-17T15:04:26.783014Z
,0.98,-3.36,-2.38,2025-03-17T15:04:27.885912Z
,1.71,2.26,-3.17,2025-03-17T15:04:28.995583Z
,15.32,-3.54,-2.62,2025-03-17T15:04:30.100522Z
,1.4,0,-2.14,2025-03-17T15:04:31.203006Z
,2.26,-2.56,-2.62,2025-03-17T15:04:32.306272Z
,0.55,-4.21,-2.44,2025-03-17T15:04:33.416781Z
,0.18,-4.15,-2.2,2025-03-17T15:04:34.51745Z
,0.92,-3.6,-2.32,2025-03-17T15:04:35.620703Z
,0.55,-3.66,-2.38,2025-03-17T15:04:36.73155Z
,-0.85,-4.46,-2.44,2025-03-17T15:04:37.828405Z
,0.79,-3.6,-2.38,2025-03-17T15:04:38.934943Z
,1.1,-3.54,-2.38,2025-03-17T15:04:40.041455Z
,1.04,-3.17,-2.44,2025-03-17T15:04:41.14366Z
,-1.89,0.79,-1.89,2025-03-17T15:04:42.250653Z
,0.43,-3.36,-2.44,2025-03-17T15:04:43.353002Z
,0.49,-5.07,-2.26,2025-03-17T15:04:44.461286Z
,1.4,-3.54,-2.62,2025-03-17T15:04:45.673174Z
,-4.46,-2.32,-2.26,2025-03-17T15:04:46.670398Z
,-1.65,-3.72,-3.17,2025-03-17T15:04:47.77645Z
,-1.28,-3.42,-2.93,2025-03-17T15:04:48.878338Z
,1.46,-3.42,-2.32,2025-03-17T15:04:49.985816Z
,0.55,-3.23,-2.44,2025-03-17T15:04:51.090125Z
,1.4,-3.11,-2.14,2025-03-17T15:04:52.210853Z
,0.55,-5,-2.32,2025-03-17T15:04:53.298288Z
,-0.79,-4.03,-2.69,2025-03-17T15:04:54.409041Z
,0.79,-3.42,-2.38,2025-03-17T15:04:55.511987Z
,0.73,-3.6,-2.44,2025-03-17T15:04:56.616765Z
,1.04,-3.54,-2.32,2025-03-17T15:04:57.719354Z
,2.38,-4.03,-2.14,2025-03-17T15:04:58.838158Z
,-1.22,-1.53,-1.89,2025-03-17T15:04:59.929607Z
,0.85,-3.3,-2.14,2025-03-17T15:05:01.035051Z
,0.67,-4.03,-2.56,2025-03-17T15:05:02.136761Z
,2.26,-3.6,-2.44,2025-03-17T15:05:03.282388Z
,0.79,-3.42,-2.5,2025-03-17T15:05:04.349133Z
,0.37,-3.3,-2.38,2025-03-17T15:05:05.453698Z
,0.73,-3.85,-2.56,2025-03-17T15:05:06.56408Z
,0.85,-3.48,-2.56,2025-03-17T15:05:07.662114Z
,1.04,-3.6,-2.32,2025-03-17T15:05:08.77875Z
,1.16,-3.97,-2.44,2025-03-17T15:05:09.871583Z
